property_id,neighborhood,property_type,house_style,year_built,overall_quality,overall_condition,sale_price,lot_area,living_area_sqft,bedrooms,bathrooms,total_rooms,garage_spaces,garage_area,central_air,fireplaces,has_basement,finished_basement_sqft,has_deck,has_porch,has_pool,has_fence,kitchen_quality,exterior_quality,heating_quality,garage_quality,amenity_count,completeness_score,recommended_keywords,quality_label
527258010,StoneBr,1Fam 1Story Class 20,1Story,2010,9,2,394432,11394,1856,1,1.5,8,3.0,834.0,1,1,1,1445.0,1,0,0,0,Ex,Gd,Ex,TA,6,100,"StoneBr, 1Story, central air, garage, basement, fireplace, deck",High Quality
527276150,Gilbert,1Fam 1Story Class 20,1Story,1951,4,5,141000,19138,864,2,1.0,4,2.0,400.0,1,0,1,120.0,0,0,0,0,TA,TA,Ex,TA,4,100,"Gilbert, 1Story, central air, garage, basement",Low Quality
527302110,NWAmes,1Fam 1Story Class 20,1Story,1978,6,6,210000,13175,2073,3,2.0,7,2.0,500.0,1,2,1,953.0,1,0,0,1,TA,TA,TA,TA,7,100,"NWAmes, 1Story, central air, garage, basement, fireplace, deck",Medium Quality
527358140,NWAmes,1Fam 1Story Class 20,1Story,1977,6,6,190000,11751,1844,3,2.0,7,2.0,546.0,1,1,1,705.0,0,1,0,1,TA,TA,Ex,TA,7,100,"NWAmes, 1Story, central air, garage, basement, fireplace, porch",Medium Quality
527358200,NWAmes,1Fam SFoyer Class 85,SFoyer,1974,7,6,170000,10625,1173,3,2.0,6,2.0,528.0,1,2,1,1053.0,0,1,0,1,Gd,TA,TA,TA,7,100,"NWAmes, SFoyer, central air, garage, basement, fireplace, porch",High Quality
527368020,Somerst,1Fam 2Story Class 60,2Story,2000,7,5,216000,7500,1674,3,2.5,7,2.0,663.0,1,0,1,533.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"Somerst, 2Story, central air, garage, basement, , porch",High Quality
527402200,NAmes,1Fam 1Story Class 20,1Story,1970,6,7,149000,11241,1004,2,1.0,5,2.0,480.0,1,1,1,578.0,0,0,0,0,TA,TA,Ex,TA,5,100,"NAmes, 1Story, central air, garage, basement, fireplace",Medium Quality
527402250,NAmes,1Fam 1Story Class 20,1Story,1971,5,6,149900,12537,1078,3,1.5,6,2.0,500.0,1,1,1,734.0,0,0,0,0,TA,TA,Ex,TA,5,100,"NAmes, 1Story, central air, garage, basement, fireplace",Medium Quality
527403020,NAmes,1Fam 1Story Class 20,1Story,1968,5,6,142000,8450,1056,3,1.0,6,1.0,304.0,1,1,1,775.0,0,1,0,0,TA,TA,Ex,TA,6,100,"NAmes, 1Story, central air, garage, basement, fireplace, porch",Medium Quality
527404120,NAmes,1Fam 1Story Class 20,1Story,1970,4,5,126000,8400,882,2,1.0,4,2.0,525.0,1,0,1,882.0,1,0,0,1,TA,TA,TA,TA,6,100,"NAmes, 1Story, central air, garage, basement, deck",Low Quality
527425090,NAmes,1Fam 1Story Class 20,1Story,1971,4,5,115000,10500,864,3,1.0,5,0.0,0.0,1,1,1,432.0,0,0,0,0,TA,TA,TA,NA,4,100,"NAmes, 1Story, central air, basement, fireplace",Low Quality
527427230,NAmes,TwnhsE 1Story Class 120,1Story,1999,7,5,184000,5858,1337,2,2.0,5,2.0,511.0,1,1,1,1051.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NAmes, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
527451180,BrDale,Twnhs 2Story Class 160,2Story,1971,6,5,96000,1680,987,2,1.5,5,1.0,264.0,1,0,1,156.0,1,0,0,0,TA,TA,TA,TA,5,100,"BrDale, 2Story, central air, garage, basement, deck",Medium Quality
527451330,BrDale,Twnhs 2Story Class 160,2Story,1971,5,5,105500,1680,1092,3,1.5,6,1.0,320.0,1,0,1,300.0,0,0,0,0,TA,TA,TA,TA,4,100,"BrDale, 2Story, central air, garage, basement",Medium Quality
527451410,BrDale,Twnhs 2Story Class 160,2Story,1971,6,5,88000,1680,1092,3,1.5,6,1.0,264.0,1,0,1,0.0,0,0,0,0,TA,TA,TA,TA,3,100,"BrDale, 2Story, central air, garage, basement",Medium Quality
527452190,NPkVill,TwnhsE 1Story Class 120,1Story,1977,6,5,127500,4043,1069,2,2.0,4,2.0,440.0,1,1,1,360.0,0,1,0,0,TA,TA,TA,TA,6,100,"NPkVill, 1Story, central air, garage, basement, fireplace, porch",Medium Quality
527453130,NPkVill,Twnhs 2Story Class 160,2Story,1975,6,6,149900,2280,1456,3,2.5,6,2.0,440.0,1,1,1,514.0,1,0,0,0,Gd,TA,TA,TA,6,100,"NPkVill, 2Story, central air, garage, basement, fireplace, deck",Medium Quality
527453150,NPkVill,Twnhs 1Story Class 120,1Story,1975,7,6,120000,2280,836,2,1.0,4,1.0,308.0,1,0,1,0.0,0,1,0,0,TA,TA,Ex,TA,4,100,"NPkVill, 1Story, central air, garage, basement, , porch",High Quality
527454200,NPkVill,Twnhs 2Story Class 160,2Story,1978,6,5,146000,2280,1456,3,2.5,7,2.0,440.0,1,1,1,311.0,1,0,0,0,TA,TA,Fa,TA,6,100,"NPkVill, 2Story, central air, garage, basement, fireplace, deck",Medium Quality
528108120,NridgHt,1Fam 2Story Class 60,2Story,2009,9,5,376162,12858,2334,3,2.5,10,3.0,751.0,1,1,1,0.0,1,1,0,0,Ex,Ex,Ex,TA,6,100,"NridgHt, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
528112020,NridgHt,1Fam 1Story Class 20,1Story,2007,8,5,306000,11478,1704,3,2.0,7,3.0,772.0,1,1,1,1218.0,0,1,0,0,Gd,Gd,Ex,TA,6,100,"NridgHt, 1Story, central air, garage, basement, fireplace, porch",High Quality
528120060,NridgHt,1Fam 1Story Class 20,1Story,2009,9,5,395192,10159,1940,3,2.5,8,3.0,606.0,1,1,1,1646.0,1,1,0,0,Ex,Ex,Ex,TA,7,100,"NridgHt, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
528120090,NridgHt,1Fam 1Story Class 20,1Story,2009,8,5,290941,12883,1544,3,2.0,7,3.0,868.0,1,0,1,0.0,0,1,0,0,Gd,Gd,Ex,TA,4,100,"NridgHt, 1Story, central air, garage, basement, , porch",High Quality
528120100,NridgHt,1Fam 1Story Class 20,1Story,2005,7,5,220000,12182,1541,3,2.0,7,2.0,532.0,1,1,1,1201.0,0,1,0,0,Gd,Gd,Ex,TA,6,100,"NridgHt, 1Story, central air, garage, basement, fireplace, porch",High Quality
528120120,NridgHt,1Fam 1Story Class 20,1Story,2005,9,5,275000,11520,1698,3,2.0,7,3.0,730.0,1,1,1,110.0,1,1,0,0,Ex,Gd,Ex,TA,7,100,"NridgHt, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
528138020,NridgHt,1Fam 1Story Class 20,1Story,2005,8,5,259000,14122,1822,3,2.0,8,3.0,678.0,1,1,1,28.0,0,1,0,0,Ex,Gd,Ex,TA,6,100,"NridgHt, 1Story, central air, garage, basement, fireplace, porch",High Quality
528138060,NridgHt,1Fam 1Story Class 20,1Story,2004,7,5,214000,10171,1535,3,2.0,7,2.0,532.0,1,0,1,2.0,0,0,0,0,Gd,Gd,Ex,TA,4,100,"NridgHt, 1Story, central air, garage, basement",High Quality
528150070,NridgHt,1Fam 1Story Class 20,1Story,2009,9,5,611657,12919,2364,2,2.5,11,3.0,820.0,1,2,1,2188.0,0,1,0,0,Ex,Ex,Ex,TA,6,100,"NridgHt, 1Story, central air, garage, basement, fireplace, porch",High Quality
528175010,NridgHt,TwnhsE 1Story Class 120,1Story,2009,7,5,224000,6371,1358,2,2.0,6,2.0,484.0,1,1,1,733.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NridgHt, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
528176010,NridgHt,1Fam 1Story Class 20,1Story,2003,9,5,500000,14300,2696,3,2.5,10,3.0,958.0,1,2,1,1373.0,1,1,0,0,Ex,Ex,Ex,TA,7,100,"NridgHt, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
528176070,NridgHt,1Fam 2Story Class 60,2Story,2002,8,5,320000,13650,2250,3,2.5,7,3.0,756.0,1,1,1,578.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NridgHt, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
528180070,NridgHt,TwnhsE 1Story Class 120,1Story,2005,9,5,319900,7658,1752,2,2.0,6,2.0,576.0,1,1,1,456.0,1,1,0,0,Ex,Ex,Ex,TA,7,100,"NridgHt, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
528181050,NridgHt,TwnhsE 1Story Class 120,1Story,2006,8,5,205000,7132,1370,2,2.0,6,2.0,484.0,1,1,1,24.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NridgHt, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
528188120,NridgHt,Twnhs 2Story Class 160,2Story,2003,7,5,175500,2628,1626,2,2.5,6,2.0,474.0,1,0,1,0.0,0,1,0,0,Gd,Gd,Ex,TA,4,100,"NridgHt, 2Story, central air, garage, basement, , porch",High Quality
528218150,Gilbert,1Fam 1Story Class 20,1Story,2005,6,5,199500,18494,1324,3,2.0,6,2.0,430.0,1,0,1,0.0,1,1,0,0,Gd,Gd,Ex,TA,5,100,"Gilbert, 1Story, central air, garage, basement, deck, porch",Medium Quality
528228285,Blmngtn,TwnhsE 1Story Class 120,1Story,2006,7,5,160000,3203,1145,2,2.0,6,2.0,437.0,1,0,1,16.0,1,1,0,0,Gd,Gd,Ex,TA,6,100,"Blmngtn, 1Story, central air, garage, basement, deck, porch",High Quality
528228440,Blmngtn,TwnhsE 1Story Class 120,1Story,2004,8,5,192000,3182,1269,2,2.0,6,2.0,430.0,1,1,1,24.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"Blmngtn, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
528231020,Gilbert,1Fam SLvl Class 80,SLvl,2004,7,5,184500,13300,1374,3,2.5,7,2.0,400.0,1,1,1,326.0,1,0,0,0,Gd,Gd,Ex,TA,6,100,"Gilbert, SLvl, central air, garage, basement, fireplace, deck",High Quality
528240070,Gilbert,1Fam 2Story Class 60,2Story,2002,6,5,216500,7851,1960,4,2.5,8,2.0,440.0,1,2,1,625.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"Gilbert, 2Story, central air, garage, basement, fireplace, deck, porch",Medium Quality
528240130,Gilbert,1Fam 2Story Class 60,2Story,2004,7,5,185088,8577,1733,3,2.5,7,2.0,433.0,1,1,1,0.0,1,1,0,0,Gd,Gd,Ex,TA,6,100,"Gilbert, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
528250100,Gilbert,1Fam SLvl Class 80,SLvl,2000,7,5,180000,7750,1430,3,2.5,7,2.0,400.0,1,1,1,250.0,1,0,0,0,TA,TA,Ex,TA,6,100,"Gilbert, SLvl, central air, garage, basement, fireplace, deck",High Quality
528292020,Gilbert,1Fam 2Story Class 60,2Story,2001,7,5,222500,9505,2035,3,2.5,8,2.0,434.0,1,1,1,0.0,1,1,0,0,Gd,Gd,Ex,TA,6,100,"Gilbert, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
528328100,NoRidge,1Fam 2Story Class 60,2Story,1999,9,5,333168,14774,2599,4,2.5,10,3.0,779.0,1,1,1,0.0,1,1,0,0,Gd,Gd,Ex,TA,6,100,"NoRidge, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
528344070,NoRidge,1Fam 2Story Class 60,2Story,1998,8,5,355000,17433,2475,4,2.5,7,3.0,962.0,1,1,1,0.0,1,1,0,0,Gd,Gd,Ex,TA,6,100,"NoRidge, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
528358010,NoRidge,1Fam 1Story Class 20,1Story,1996,7,5,260400,10593,1720,3,2.0,7,2.0,527.0,1,1,1,919.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NoRidge, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
528363130,NoRidge,1Fam 2Story Class 60,2Story,1994,8,5,325000,12256,2622,3,2.5,9,2.0,712.0,1,2,1,1032.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NoRidge, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
528382020,NoRidge,1Fam 2Story Class 60,2Story,1999,8,7,290000,11764,2270,4,2.5,9,3.0,671.0,1,1,1,524.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NoRidge, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
528382030,NoRidge,1Fam 2Story Class 60,2Story,1998,7,5,221000,16770,1839,4,2.5,7,2.0,486.0,1,0,1,0.0,0,1,0,0,TA,Gd,Gd,TA,4,100,"NoRidge, 2Story, central air, garage, basement, , porch",High Quality
528386040,NoRidge,1Fam 1.5Fin Class 50,1.5Fin,1995,8,5,410000,14720,3238,4,2.5,9,3.0,666.0,1,1,1,816.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NoRidge, 1.5Fin, central air, garage, basement, fireplace, deck, porch",High Quality
528445060,Somerst,1Fam 1Story Class 20,1Story,2005,8,5,221500,8987,1595,2,2.0,6,3.0,880.0,1,1,1,0.0,1,0,0,0,Gd,Gd,Ex,TA,5,100,"Somerst, 1Story, central air, garage, basement, fireplace, deck",High Quality
528456160,Somerst,1Fam 1Story Class 20,1Story,2009,7,5,204500,9215,1218,2,2.0,4,2.0,676.0,1,0,1,0.0,0,1,0,0,Gd,Gd,Ex,TA,4,100,"Somerst, 1Story, central air, garage, basement, , porch",High Quality
528458070,Somerst,1Fam 2Story Class 60,2Story,2009,7,5,215200,8640,1547,3,2.5,7,2.0,614.0,1,0,1,24.0,1,1,0,0,Gd,TA,Ex,TA,6,100,"Somerst, 2Story, central air, garage, basement, deck, porch",High Quality
528458110,Somerst,1Fam 1Story Class 20,1Story,2008,8,5,262500,9000,1566,3,2.0,7,2.0,750.0,1,0,1,1078.0,1,1,0,0,Gd,Gd,Ex,TA,6,100,"Somerst, 1Story, central air, garage, basement, deck, porch",High Quality
528477080,Somerst,1Fam 2Story Class 60,2Story,2004,7,5,254900,12552,1947,3,2.5,8,2.0,678.0,1,1,1,222.0,0,1,0,1,Gd,Gd,Ex,TA,7,100,"Somerst, 2Story, central air, garage, basement, fireplace, porch",High Quality
528480090,Somerst,1Fam 1Story Class 20,1Story,2005,6,5,271500,10440,1468,2,2.0,6,2.0,528.0,1,1,1,1414.0,0,1,0,0,Gd,Gd,Ex,TA,6,100,"Somerst, 1Story, central air, garage, basement, fireplace, porch",Medium Quality
531367050,SawyerW,1Fam 2Story Class 60,2Story,2004,7,5,233000,10142,2084,4,2.5,8,2.0,618.0,1,0,1,656.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"SawyerW, 2Story, central air, garage, basement, , porch",High Quality
531369060,SawyerW,1Fam 2Story Class 60,2Story,2004,7,5,181000,11920,1659,3,2.5,8,2.0,484.0,1,0,1,0.0,1,1,0,0,Gd,Gd,Ex,TA,5,100,"SawyerW, 2Story, central air, garage, basement, deck, porch",High Quality
531380080,SawyerW,1Fam 2Story Class 60,2Story,1994,7,5,205000,8880,2110,3,2.5,8,2.0,463.0,1,2,1,695.0,0,1,0,0,Gd,Gd,Ex,TA,6,100,"SawyerW, 2Story, central air, garage, basement, fireplace, porch",High Quality
531451110,SawyerW,TwnhsE 1Story Class 120,1Story,1980,6,5,143000,8012,923,2,2.0,5,1.0,264.0,1,1,1,662.0,1,0,0,0,TA,TA,TA,TA,6,100,"SawyerW, 1Story, central air, garage, basement, fireplace, deck",Medium Quality
531451280,SawyerW,1Fam 2Story Class 60,2Story,1992,6,5,189000,11218,1845,3,2.5,8,2.0,462.0,1,1,1,0.0,1,1,0,1,Gd,Gd,Ex,TA,7,100,"SawyerW, 2Story, central air, garage, basement, fireplace, deck, porch",Medium Quality
531452020,SawyerW,TwnhsE 1Story Class 120,1Story,1979,6,5,99500,7892,918,2,2.0,5,1.0,264.0,1,1,1,0.0,1,0,0,0,TA,TA,TA,TA,5,100,"SawyerW, 1Story, central air, garage, basement, fireplace, deck",Medium Quality
531452050,SawyerW,TwnhsE 1Story Class 120,1Story,1984,6,5,125000,7175,752,2,1.0,4,1.0,264.0,1,0,1,744.0,1,0,0,1,TA,TA,TA,TA,6,100,"SawyerW, 1Story, central air, garage, basement, deck",Medium Quality
531452180,SawyerW,1Fam 2Story Class 60,2Story,1993,7,7,194500,9453,1744,3,2.5,7,2.0,457.0,1,0,1,402.0,1,1,0,0,Gd,Gd,Ex,TA,6,100,"SawyerW, 2Story, central air, garage, basement, deck, porch",High Quality
531453010,SawyerW,1Fam 1Story Class 20,1Story,1984,6,5,152000,9672,1097,3,2.0,6,2.0,480.0,1,0,1,338.0,0,0,0,1,TA,TA,TA,TA,5,100,"SawyerW, 1Story, central air, garage, basement",Medium Quality
531453040,SawyerW,1Fam 2Story Class 60,2Story,1980,6,6,171000,8400,1564,3,2.5,7,2.0,476.0,1,1,1,0.0,0,1,0,1,TA,TA,TA,TA,6,100,"SawyerW, 2Story, central air, garage, basement, fireplace, porch",Medium Quality
531477050,SawyerW,1Fam 1Story Class 30,1Story,1920,5,5,67500,9800,1012,2,1.0,5,1.0,429.0,0,0,1,0.0,1,0,0,0,TA,TA,TA,TA,3,100,"SawyerW, 1Story, garage, basement, deck",Medium Quality
532351140,Sawyer,Duplex 1.5Fin Class 90,1.5Fin,1978,6,5,112000,8930,1902,4,2.0,8,2.0,539.0,1,0,0,0.0,0,0,0,0,TA,TA,TA,TA,2,90,"Sawyer, 1.5Fin, central air, garage",Medium Quality
532354090,Sawyer,1Fam SFoyer Class 85,SFoyer,1961,5,7,148000,11782,1155,3,1.0,6,2.0,576.0,1,0,1,899.0,1,0,0,1,Gd,TA,TA,TA,6,100,"Sawyer, SFoyer, central air, garage, basement, deck",Medium Quality
532376160,Sawyer,1Fam 1Story Class 20,1Story,1965,5,8,138500,8450,894,3,1.0,5,1.0,336.0,1,1,1,670.0,1,1,0,1,TA,TA,Ex,TA,8,100,"Sawyer, 1Story, central air, garage, basement, fireplace, deck, porch",Medium Quality
532377060,Sawyer,1Fam 1Story Class 20,1Story,1967,5,5,122000,9819,900,3,1.0,5,1.0,280.0,1,0,1,450.0,0,0,0,1,TA,TA,TA,TA,5,100,"Sawyer, 1Story, central air, garage, basement",Medium Quality
532377100,Sawyer,1Fam 1Story Class 20,1Story,1963,5,5,133000,7500,1040,3,1.5,5,1.0,308.0,1,0,1,824.0,0,0,0,1,TA,TA,Fa,TA,5,100,"Sawyer, 1Story, central air, garage, basement",Medium Quality
532378110,Sawyer,1Fam 1Story Class 20,1Story,1962,5,8,127000,6897,1040,3,1.5,6,1.0,260.0,1,0,1,659.0,0,1,0,0,TA,TA,Ex,TA,5,100,"Sawyer, 1Story, central air, garage, basement, , porch",Medium Quality
532479070,Sawyer,1Fam 1Story Class 20,1Story,1974,6,6,169000,15410,1494,3,2.0,7,2.0,461.0,1,2,1,985.0,1,0,0,1,TA,TA,Ex,TA,7,100,"Sawyer, 1Story, central air, garage, basement, fireplace, deck",Medium Quality
533130020,NoRidge,1Fam 2Story Class 60,2Story,1992,7,5,190000,10186,1923,3,2.5,8,2.0,564.0,1,1,1,674.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NoRidge, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
533130130,NoRidge,1Fam 2Story Class 60,2Story,1993,8,5,362500,13143,2349,4,2.5,9,3.0,762.0,1,1,1,1231.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NoRidge, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
533130160,NoRidge,1Fam 2Story Class 60,2Story,1992,8,5,285000,11134,2225,4,2.5,7,3.0,713.0,1,1,1,1129.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"NoRidge, 2Story, central air, garage, basement, fireplace, deck, porch",High Quality
533205060,Somerst,TwnhsE 1Story Class 120,1Story,2004,7,5,260000,4835,1488,2,2.0,6,2.0,506.0,1,1,1,1298.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"Somerst, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
533208090,Somerst,TwnhsE 2Story Class 160,2Story,2004,7,5,190000,3515,1680,2,2.5,3,2.0,588.0,1,0,1,0.0,0,1,0,0,Gd,Gd,Ex,TA,4,100,"Somerst, 2Story, central air, garage, basement, , porch",High Quality
533210060,Somerst,TwnhsE 2Story Class 160,2Story,2004,7,5,155000,3215,1200,2,2.5,4,2.0,480.0,1,0,1,280.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"Somerst, 2Story, central air, garage, basement, , porch",High Quality
533212010,Somerst,TwnhsE 2Story Class 160,2Story,2004,7,5,151000,3182,1200,2,2.5,4,2.0,480.0,1,0,1,0.0,0,1,0,0,Gd,Gd,Ex,TA,4,100,"Somerst, 2Story, central air, garage, basement, , porch",High Quality
533212020,Somerst,Twnhs 2Story Class 160,2Story,2004,7,5,149500,2544,1200,2,2.5,4,2.0,480.0,1,0,1,410.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"Somerst, 2Story, central air, garage, basement, , porch",High Quality
533212060,Somerst,Twnhs 2Story Class 160,2Story,2005,6,5,152000,2544,1236,2,2.5,4,2.0,480.0,1,0,1,376.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"Somerst, 2Story, central air, garage, basement, , porch",Medium Quality
533213030,Somerst,1Fam 1Story Class 20,1Story,2009,7,5,222000,4403,1478,2,2.5,7,2.0,484.0,1,1,1,578.0,0,1,0,0,Gd,Ex,Ex,TA,6,100,"Somerst, 1Story, central air, garage, basement, fireplace, porch",High Quality
533221090,Somerst,Twnhs 2Story Class 160,2Story,2000,6,5,177500,2117,1573,3,2.5,5,2.0,440.0,1,0,1,378.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"Somerst, 2Story, central air, garage, basement, , porch",Medium Quality
533221110,Somerst,TwnhsE 2Story Class 160,2Story,2000,6,5,177000,2980,1512,2,2.5,5,2.0,440.0,1,0,1,466.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"Somerst, 2Story, central air, garage, basement, , porch",Medium Quality
533223020,Somerst,Twnhs 2Story Class 160,2Story,1999,7,5,155000,2572,1416,3,2.5,6,2.0,484.0,1,0,1,604.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"Somerst, 2Story, central air, garage, basement, , porch",High Quality
533223100,Somerst,TwnhsE 2Story Class 160,2Story,2003,7,5,147110,2403,1080,2,2.5,4,2.0,496.0,1,0,1,244.0,0,1,0,0,Gd,Gd,Ex,TA,5,100,"Somerst, 2Story, central air, garage, basement, , porch",High Quality
533238045,Somerst,1Fam 1Story Class 20,1Story,2010,8,5,267916,12853,1418,1,1.5,6,3.0,852.0,1,1,1,1032.0,1,1,0,0,Gd,Gd,Ex,TA,7,100,"Somerst, 1Story, central air, garage, basement, fireplace, deck, porch",High Quality
